"","Type","metric","NoImpact","BioImpact","TempImpact","BothImpact"
"1","Modified","CSCI",68.5483870967742,16.1290322580645,5.64516129032258,9.67741935483871
"2","Standard","CSCI",53.2258064516129,14.5161290322581,3.2258064516129,29.0322580645161
"3","Modified","ASCI",60.7843137254902,13.7254901960784,7.84313725490196,17.6470588235294
"4","Standard","ASCI",19.6078431372549,3.92156862745098,37.2549019607843,39.2156862745098
