"","Type","Result","n","PercChans","metric"
"1","Modified","NoImpact",85,68.5483870967742,"CSCI"
"2","Modified","BioImpact",20,16.1290322580645,"CSCI"
"3","Modified","TempImpact",7,5.64516129032258,"CSCI"
"4","Modified","BothImpact",12,9.67741935483871,"CSCI"
"5","Standard","NoImpact",66,53.2258064516129,"CSCI"
"6","Standard","BioImpact",18,14.5161290322581,"CSCI"
"7","Standard","TempImpact",4,3.2258064516129,"CSCI"
"8","Standard","BothImpact",36,29.0322580645161,"CSCI"
"9","Modified","NoImpact",31,60.7843137254902,"ASCI"
"10","Modified","BioImpact",7,13.7254901960784,"ASCI"
"11","Modified","TempImpact",4,7.84313725490196,"ASCI"
"12","Modified","BothImpact",9,17.6470588235294,"ASCI"
"13","Standard","NoImpact",10,19.6078431372549,"ASCI"
"14","Standard","BioImpact",2,3.92156862745098,"ASCI"
"15","Standard","TempImpact",19,37.2549019607843,"ASCI"
"16","Standard","BothImpact",20,39.2156862745098,"ASCI"
